Pal,Predator,Edible,Nocturnal,AIResponse,AISightResponse,ViewingDistance,ViewingAngle,HearingRate,Size,GenusCategory,Rarity,Hp,IsBoss,IsTowerBoss,IsRaidBoss
RAID_NightLady,false,true,true,Boss,None,25,90,1.0,5,1,10,120,true,false,true
RAID_NightLady_Dark,false,true,true,Boss,None,25,90,1.0,5,1,10,120,true,false,true
RAID_NightLady_Dark_2,false,true,true,Boss,None,25,90,1.0,5,1,10,120,true,false,true
RAID_KingBahamut_Dragon,false,true,false,Boss,None,25,90,1.0,5,2,10,105,true,false,true
RAID_KingBahamut_Dragon_2,false,true,false,Boss,None,25,90,1.0,5,2,10,105,true,false,true
GYM_WorldTreeDragon,false,true,false,Boss,None,25,90,1.0,5,0,8,240,true,true,false
GYM_WorldTreeDragon_2,false,true,false,Boss,None,25,90,1.0,5,0,8,288,true,true,false
GYM_BlackGriffon,false,true,true,Boss,None,25,90,1.0,5,2,10,120,true,true,false
GYM_ElecPanda,true,true,false,Boss,None,25,90,1.0,5,1,8,105,true,true,false
GYM_Horus,false,true,false,Boss,None,25,90,1.0,5,5,9,100,true,true,false
GYM_LilyQueen,false,true,false,Boss,None,25,90,1.0,5,1,9,110,true,true,false
GYM_ThunderDragonMan,false,true,false,Boss,None,25,90,1.0,5,1,9,100,true,true,false
GYM_MoonQueen,false,true,true,Boss,None,25,90,1.0,5,1,9,130,true,true,false
GYM_SnowTigerBeastman,false,true,false,Boss,None,25,90,1.0,5,1,10,140,true,true,false
GYM_BlueSkyDragon,false,true,false,Boss,None,25,90,1.0,5,3,9,168,true,true,false
GYM_ElecPanda_2,true,true,false,Boss,None,25,90,1.0,5,1,8,105,true,true,false
GYM_LilyQueen_2,false,true,false,Boss,None,25,90,1.0,5,1,9,110,true,true,false
GYM_ThunderDragonMan_2,false,true,false,Boss,None,25,90,1.0,5,1,9,100,true,true,false
GYM_Horus_2,false,true,false,Boss,None,25,90,1.0,5,5,9,100,true,true,false
GYM_BlackGriffon_2,false,true,true,Boss,None,25,90,1.0,5,2,10,120,true,true,false
